Month	Date	Status	Title	Platform(s)	Genre(s)	Publisher(s)
Dec	18/12/1997		Grandia (Japan)	Sat, PS1 (1999), 		
Dec	18/12/1997		Mega Man Legends	Win (2001), PS1, N64 (2000), 		
Dec	21/12/1997		Baldur's Gate	Win	Role-playing	
Dec	21/12/1997		South Park	N64	First-person shooter	
Dec	21/12/1997		Yoshi's Story	N64, 		
Dec	23/12/1997		Chocobo's Mystery Dungeon 2	PS1	Roguelike	
Dec	23/12/1997		Sonic Adventure	DC	Platform	
Dec	23/12/1997		Starsiege: Tribes	Win	First-person shooter	
Dec	23/12/1997		Gran Turismo	PS1, 		
Dec	28/12/1997		Myth II: Soulblighter	Win	Real-time tactics	
Dec	31/12/1997		Akuji the Heartless	PS1	Action-adventure	
Dec	31/12/1997		Mortal Kombat Mythologies: Sub-Zero	N64, 		
Jan	05/01/1998		Robotron 64	N64	Shoot 'em up	
Jan	08/01/1998		No One Can Stop Mr. Domino!	PS1	Puzzle	
Jan	12/01/1998		Marvel vs. Capcom: Clash of Super Heroes	Arcade	Fighting	
Jan	21/01/1998		Resident Evil 2	PS1	Survival horror	
Jan	29/01/1998		Bomberman World	PS1	Action, maze	
Jan	29/01/1998		Bust a Groove	PS1	Music, fighting	
Jan	29/01/1998		Panzer Dragoon Saga	Sat	Action-adventure, role-playing	
Jan	31/01/1998		Skullmonkeys	PS1	Platform	
Feb	09/02/1998		James Bond 007	GB	Action-adventure	
Feb	11/02/1998		Xenogears	PS1	Role-playing	
Feb	24/02/1998		Gex: Enter the Gecko	PS1	Platform	
Feb	26/02/1998		Burning Rangers	Sat	Action, third-person shooter	
Feb	26/02/1998		Tenchu: Stealth Assassins	PS1	Action-adventure, stealth	
Feb	26/02/1998		X-Men vs. Street Fighter: EX Edition	PS1	Fighting	
Feb	28/02/1998		1080° Snowboarding	N64	Racing	
Feb	28/02/1998		Battlezone	Win	First-person shooter, real-time strategy	
Feb	28/02/1998		ReBoot	PS1	Action	
Feb	28/02/1998		Star Wars: Rebellion	Win	Real-time strategy	
Mar	09/03/1998		Wario Land II	GB	Platform	
Mar	19/03/1998		Descent: FreeSpace – The Great War	Win	Space combat simulator	
Mar	19/03/1998		Real Bout Fatal Fury 2: The Newcomers	Arcade	Fighting	
Mar	25/03/1998		Need for Speed III: Hot Pursuit	PS1	Racing	
Mar	26/03/1998		Dungeon Master Nexus	Sat	Role-playing	
Mar	26/03/1998		The House of the Dead	Sat	Rail shooter	
Mar	26/03/1998		The King of Fighters '97	Sat	Fighting	
Mar	26/03/1998		Tekken 3	PS1	Fighting	
Mar	29/03/1998		Parasite Eve	PS1	Action role-playing	
Mar	31/03/1998		Blasto	PS1	Third-person shooter	
Mar	31/03/1998		StarCraft	Win	Real-time strategy	
Mar	31/03/1998		Warhammer: Dark Omen	Win	Real-time tactics	
Mar	31/03/1998		World Cup 98	PS1	Sports (soccer)	
Apr	04/04/1998		Sakura Wars 2: Thou Shalt Not Die	Sat	Tactical role-playing, dating sim, visual novel	
Apr	07/04/1998		Warhammer: Dark Omen	PS1	Real-time tactics	
Apr	09/04/1998		G-Darius	PS1	Shoot 'em up	
Apr	14/04/1998		GT 64: Championship Edition	N64	Racing	
Apr	17/04/1998		Puyo Puyo Sun	Win	Puzzle	
Apr	29/04/1998		Real Bout Fatal Fury 2: The Newcomers	Neo	Fighting	
Apr	29/04/1998		Shining Force III Scenario 2 – Target: Child of God	Sat	Tactical role-playing	
Apr	29/04/1998		Super Tempo	Sat	Platform	
Apr	30/04/1998		Bomberman Hero	N64	Platform	
Apr	30/04/1998		Might and Magic VI: The Mandate of Heaven	Win	Role-playing	
Apr	30/04/1998		World Cup 98	Win	Sports (soccer)	
May	07/05/1998		Jazz Jackrabbit 2	Win	Platform	
May	18/05/1998		World Cup 98	N64	Sports (soccer)	
May	21/05/1998		Baroque	Sat	Role-playing	
May	22/05/1998		Unreal	Win	First-person shooter	
May	28/05/1998		Radiant Silvergun	Arcade	Shoot 'em up	
May	28/05/1998		The King of Fighters '97	PS1	Fighting	
Jun	04/06/1998		Atelier Marie Plus	PS1	Role-playing	
Jun	04/06/1998		International Superstar Soccer 98	N64	Sports (soccer)	
Jun	04/06/1998		Vigilante 8	PS1	Vehicular combat	
Jun	11/06/1998		Super Gem Fighter Mini Mix	PS1	Fighting	
Jun	12/06/1998		Wetrix	N64	Puzzle	
Jun	24/06/1998		Commandos: Behind Enemy Lines	Win	Real-time tactics	
Jun	25/06/1998		Castlevania: Symphony of the Night	Sat	Action-adventure	
Jun	29/06/1998		Banjo-Kazooie	N64	Platform	
Jun	30/06/1998		Deep Fear	Sat	Survival horror	
Jun	30/06/1998		N2O: Nitrous Oxide	PS1	Shoot 'em up	
Jul	04/07/1998		Heart of Darkness	PS1	Platform	
Jul	09/07/1998		FIFA 99	PS1	Sports (soccer)	
Jul	09/07/1998		Super Gem Fighter Mini Mix	Sat	Fighting	
Jul	14/07/1998		F-Zero X	N64	Racing	
Jul	14/07/1998		WWF War Zone	PS1	Sports (professional wrestling)	
Jul	16/07/1998		Brave Fencer Musashi	PS1	Action role-playing	
Jul	16/07/1998		Hopkins FBI	Win	Adventure	
Jul	23/07/1998		Radiant Silvergun	Sat	Shoot 'em up	
Jul	23/07/1998		Real Bout Fatal Fury 2: The Newcomers	NeoCD	Fighting	
Jul	30/07/1998		Star Ocean: The Second Story	PS1	Action role-playing	
Jul	31/07/1998		F-1 World Grand Prix	N64	Racing	
Jul	31/07/1998		Heart of Darkness	Win	Platform	
Jul	31/07/1998		Iggy's Reckin' Balls	N64	Racing	
